Country,Group,Name,URL,Status,HTTP_Code,Latency_ms
"UNKNOWN","Religious","3ABN Dare To Dream Network","https://3abn.bozztv.com/3abn2/d2d_live/smil:d2d_live.smil/playlist.m3u8","ONLINE","200","1946"
"UNKNOWN","Religious","3ABN International Network","https://3abn.bozztv.com/3abn2/Int_live/smil:Int_live.smil/playlist.m3u8","ONLINE","200","1950"
"UNKNOWN","Religious","3ABN English","https://3abn.bozztv.com/3abn2/3abn_live/smil:3abn_live.smil/playlist.m3u8","ONLINE","200","1953"
"UNKNOWN","Music;Religious","3ABN Praise Him Music Network","https://3abn.bozztv.com/3abn1/PraiseHim/smil:PraiseHim.smil/playlist.m3u8","ONLINE","200","1952"
"UNKNOWN","Animation;Kids;Religious","3ABN Kids Network","https://3abn.bozztv.com/3abn2/Kids_live/smil:Kids_live.smil/playlist.m3u8","ONLINE","200","1956"
"UNKNOWN","Religious","3ABN Proclaim! Network","https://3abn.bozztv.com/3abn2/Pro_live/smil:Pro_live.smil/playlist.m3u8","ONLINE","200","1965"
"UNKNOWN","Religious","3ABN Latino","https://3abn.bozztv.com/3abn2/Lat_live/smil:Lat_live.smil/playlist.m3u8","ONLINE","200","1968"
"UNKNOWN","Entertainment","5 Plus (720p)","https://mmtvs.exliatycl.online/5plus/stream.m3u8","ONLINE","200","754"
"UNKNOWN","Entertainment","8TV","http://cdn6.163189.xyz/163189/8tv","ONLINE","307","150"
"UNKNOWN","Undefined","5-Minute Craft (1080p)","https://soul-5mincrafteng-rakuten.amagi.tv/playlist.m3u8","ONLINE","200","842"
"UNKNOWN","Music","9X Jhakaas (1080p)","https://amg01281-9xmediapvtltd-9xjhakaas-samsungin-ci2cs.amagi.tv/playlist/amg01281-9xmediapvtltd-9xjhakaas-samsungin/playlist.m3u8","OFFLINE","403","136"
"UNKNOWN","Music","9X Jalwa (1080p)","https://b.jsrdn.com/strm/channels/9xjalwa/master.m3u8","ONLINE","200","165"
"UNKNOWN","Undefined","7TV (576p)","http://31.148.48.15/7TV/index.m3u8","ONLINE","200","357"
"UNKNOWN","Music","9X Tashan (1080p)","https://amg01281-9xmediapvtltd-9xtashan-samsungin-xz1sd.amagi.tv/playlist/amg01281-9xmediapvtltd-9xtashan-samsungin/playlist.m3u8","OFFLINE","403","193"
"UNKNOWN","Undefined","8 Out Of 10 Cats (1080p)","https://d1l7vcuh4hn9ei.cloudfront.net/8OutOf10Cats_GB.m3u8","ONLINE","200","346"
"UNKNOWN","Music","8XM (576p)","http://115.42.65.142:9981/stream/channelid/582886861","OFFLINE","400","336"
"UNKNOWN","General","8NTV (1080p)","https://60417ddeaf0d9.streamlock.net/ntv/videontv/playlist.m3u8","ONLINE","200","561"
"UNKNOWN","Music","7S Music (576p)","https://mumt03.tangotv.in/Dsly5z3H7SMUSIC/index.m3u8","ONLINE","200","820"
"UNKNOWN","Family","6 Wise Tv (720p)","https://live.enhdtv.com:8081/8150/index.m3u8","ONLINE","301","1222"
"UNKNOWN","General","7 TeleValencia (576p)","https://play.cdn.enetres.net/9E9557EFCEBB43A89CEC8FBD3C500247022/028/playlist.m3u8","ONLINE","200","1041"
"UNKNOWN","News","10 TV (720p)","https://mumbai-edge.smartplaytv.in/10TV/index.m3u8","ONLINE","200","841"
"UNKNOWN","Music","7 YOU & ME (720p)","https://stream10.xdevel.com/video0s977798-2239/stream/playlist.m3u8","OFFLINE","404","1060"
"UNKNOWN","Music","7 RadioVisione (720p)","https://stream10.xdevel.com/video1s976543-1932/stream/playlist.m3u8","ONLINE","200","1071"
